id,make_id,model_name
279,68,باثفايندر
280,68,نافارا
281,68,ماكسيما
282,68,زد
283,68,ساني
284,68,جوك
285,68,مورانو
286,68,أرمادا
287,68,تيانا
288,68,غتر
289,11,H6
290,11,H9
291,11,جولاين
292,11,دارجو
293,70,سيتي
294,70,سيفيك
295,70,أكورد
296,70,سي آر في
297,70,بايلوت
298,70,HR-V
299,70,أوديسي
300,71,H5
301,71,H9
302,71,HS5
303,71,E-HS9
304,70,فينوم F5
305,71,أكسنت
306,71,إلنترا
307,71,سوناتا
308,71,أزيرا
309,71,توسان
310,71,سانتا في
311,71,باليسيد
312,71,كونا
313,71,كريتا
314,71,ستاريا
315,71,IONIQ 5
316,71,IONIQ 6
118,61,CX30
119,57,e5300h
120,75,ايونيك 
317,81,سول 
318,81,SOUL 
319,73,Destreyer
320,73,SEAL05
321,73,ديستروير 
322,75,جريس
323,64,E200
324,48,فوكس
325,28,بريوس
326,110,ACADIA
327,91,ID 6
328,88,افانتي 
329,111,فكترا
330,78,كامري 
331,28,كورولا
332,5,E-Star
333,73,SEAL06
334,73,E2
335,73,yuanplus 
336,73,yuan plus 
337,112,SM3
338,73,QIN L
339,10,ازكارا
340,76,MAGE
341,61,3
342,66,كيكس
343,48,فيوجن
344,113,ARRIZO
345,65,EX
346,28,يارس
347,65,لانسر EX
348,96,MODEL 3
349,113,ARRIZO 5
350,48,اسكيب 
351,114,كول راي 
352,73,SONG PLUS
353,114,COOLRAY
354,114,PREFACE
355,115,تاهو 
356,54,SOUL 
357,75,افانتي
358,75,ستاريكس
359,75,ستاريكس H1
360,54,نيرو 
361,73,SEAGULL
362,50,ID-4
363,66,ليف 
364,116,MAGE
365,64,1842L
366,28,BZ3
367,64,1842L / راس قاطرة
368,111,فيكترا 
369,73,SONG
370,117,TO3
371,118,NTORQ RACE EDITION
372,56,رنج روفر
373,5,ايدو 
374,75,اكسنت
